"03/2016","PARQUET-571"
"03/2019","PARQUET-1544"
"07/2019","PARQUET-1303"
"05/2018","PARQUET-1304"
"02/2020","PARQUET-1784"
"09/2018","PARQUET-1421"
"10/2015","PARQUET-369"
"11/2014","PARQUET-123"
"11/2015","PARQUET-364"
"05/2015","PARQUET-243"
"11/2014","PARQUET-122"
"05/2016","PARQUET-367"
"07/2015","PARQUET-246"
"01/2015","PARQUET-124"
"09/2015","PARQUET-360"
"09/2015","PARQUET-363"
"04/2015","PARQUET-242"
"10/2015","PARQUET-241"
"08/2015","PARQUET-362"
"09/2018","PARQUET-1417"
"02/2019","PARQUET-1533"
"05/2019","PARQUET-1534"
"03/2019","PARQUET-1531"
"10/2014","PARQUET-109"
"05/2015","PARQUET-229"
"01/2018","PARQUET-357"
"04/2015","PARQUET-239"
"12/2015","PARQUET-353"
"04/2015","PARQUET-235"
"11/2014","PARQUET-114"
"04/2015","PARQUET-234"
"02/2019","PARQUET-1529"
"12/2015","PARQUET-352"
"02/2019","PARQUET-1527"
"11/2018","PARQUET-1407"
"01/2020","PARQUET-1765"
"09/2019","PARQUET-1644"
"01/2019","PARQUET-1520"
"05/2015","PARQUET-269"
"09/2014","PARQUET-88"
"12/2015","PARQUET-387"
"12/2014","PARQUET-145"
"07/2016","PARQUET-389"
"04/2015","PARQUET-268"
"09/2014","PARQUET-82"
"12/2015","PARQUET-382"
"02/2016","PARQUET-385"
"08/2014","PARQUET-80"
"01/2015","PARQUET-142"
"02/2019","PARQUET-1514"
"09/2014","PARQUET-85"
"08/2019","PARQUET-1637"
"10/2015","PARQUET-381"
"11/2015","PARQUET-380"
"01/2019","PARQUET-1510"
"01/2018","PARQUET-1077"
"01/2017","PARQUET-806"
"01/2018","PARQUET-1191"
"02/2019","PARQUET-138"
"09/2015","PARQUET-376"
"09/2015","PARQUET-375"
"05/2015","PARQUET-254"
"01/2015","PARQUET-136"
"11/2014","PARQUET-135"
"05/2016","PARQUET-372"
"07/2015","PARQUET-251"
"02/2016","PARQUET-495"
"11/2014","PARQUET-132"
"10/2015","PARQUET-373"
"05/2015","PARQUET-252"
"09/2014","PARQUET-90"
"03/2015","PARQUET-97"
"09/2014","PARQUET-96"
"09/2014","PARQUET-94"
