"07/14/2015","PARQUET-331"
"12/13/2015","PARQUET-334"
"08/05/2014","PARQUET-59"
"01/12/2016","PARQUET-212"
"03/25/2016","PARQUET-571"
"03/19/2019","PARQUET-1544"
"07/25/2019","PARQUET-1303"
"05/31/2018","PARQUET-1304"
"09/20/2018","PARQUET-1421"
"10/27/2015","PARQUET-369"
"11/18/2015","PARQUET-364"
"11/07/2014","PARQUET-122"
"05/05/2016","PARQUET-367"
"07/09/2015","PARQUET-246"
"01/30/2015","PARQUET-124"
"09/17/2015","PARQUET-360"
"09/12/2015","PARQUET-363"
"04/07/2015","PARQUET-242"
"10/29/2015","PARQUET-241"
"08/20/2015","PARQUET-362"
"09/20/2018","PARQUET-1417"
"02/25/2019","PARQUET-1533"
"05/27/2019","PARQUET-1534"
"03/13/2019","PARQUET-1531"
"10/02/2014","PARQUET-109"
"01/04/2018","PARQUET-357"
"04/07/2015","PARQUET-239"
"12/11/2015","PARQUET-353"
"04/07/2015","PARQUET-235"
"11/20/2014","PARQUET-114"
"04/07/2015","PARQUET-234"
"02/13/2019","PARQUET-1529"
"12/08/2015","PARQUET-352"
"02/12/2019","PARQUET-1527"
"11/19/2018","PARQUET-1407"
"01/16/2020","PARQUET-1765"
"09/24/2019","PARQUET-1644"
"01/31/2019","PARQUET-1520"
"05/01/2015","PARQUET-269"
"09/10/2014","PARQUET-88"
"12/04/2015","PARQUET-387"
"12/11/2014","PARQUET-145"
"07/15/2016","PARQUET-389"
"04/30/2015","PARQUET-268"
"09/23/2014","PARQUET-82"
"02/06/2016","PARQUET-385"
"08/28/2014","PARQUET-80"
"01/30/2015","PARQUET-142"
"02/06/2019","PARQUET-1514"
"09/03/2014","PARQUET-85"
"08/15/2019","PARQUET-1637"
"11/18/2015","PARQUET-380"
"01/28/2019","PARQUET-1510"
"01/09/2018","PARQUET-1077"
"01/27/2017","PARQUET-806"
"01/19/2018","PARQUET-1191"
"02/01/2019","PARQUET-138"
"09/15/2015","PARQUET-375"
"05/15/2015","PARQUET-254"
"01/27/2015","PARQUET-136"
"11/18/2014","PARQUET-135"
"05/05/2016","PARQUET-372"
"07/01/2015","PARQUET-251"
"02/01/2016","PARQUET-495"
"11/19/2014","PARQUET-132"
"10/20/2015","PARQUET-373"
"05/04/2015","PARQUET-252"
"03/10/2015","PARQUET-97"
"09/26/2014","PARQUET-96"
"09/22/2014","PARQUET-94"
